遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4, 
4星彩,111000001,2022/01/01,4671300,186852,1985000,6,5,7,9,,,,,,,,
4星彩,111000002,2022/01/03,5063000,202520,2735000,5,8,6,1,,,,,,,,
4星彩,111000003,2022/01/04,4535625,181425,2545000,3,1,3,5,,,,,,,,
4星彩,111000004,2022/01/05,4694250,187770,1340000,7,7,1,5,,,,,,,,
4星彩,111000005,2022/01/06,4386025,175441,3560000,4,5,9,8,,,,,,,,
4星彩,111000006,2022/01/07,4638100,185524,585000,3,4,6,3,,,,,,,,
4星彩,111000007,2022/01/08,4616250,184650,1830000,8,0,9,8,,,,,,,,
4星彩,111000008,2022/01/10,5080050,203202,5950000,1,2,2,8,,,,,,,,
4星彩,111000009,2022/01/11,4765325,190613,3075000,0,6,0,8,,,,,,,,
4星彩,111000010,2022/01/12,4667875,186715,3880000,5,9,5,8,,,,,,,,
4星彩,111000011,2022/01/13,4560425,182417,1580000,5,6,5,2,,,,,,,,
4星彩,111000012,2022/01/14,4768900,190756,1445000,7,8,6,8,,,,,,,,
4星彩,111000013,2022/01/15,4706275,188251,1095000,7,2,4,3,,,,,,,,
4星彩,111000014,2022/01/17,4912850,196514,3830000,3,9,2,8,,,,,,,,
4星彩,111000015,2022/01/18,4639400,185576,1995000,3,9,8,2,,,,,,,,
4星彩,111000016,2022/01/19,4749225,189969,2810000,6,3,6,3,,,,,,,,
4星彩,111000017,2022/01/20,4800575,192023,455000,6,6,6,4,,,,,,,,
4星彩,111000018,2022/01/21,4640775,185631,1365000,5,4,7,5,,,,,,,,
4星彩,111000019,2022/01/22,4460700,178428,2570000,7,0,5,0,,,,,,,,
4星彩,111000020,2022/01/24,4995375,199815,1900000,6,7,9,0,,,,,,,,
4星彩,111000021,2022/01/25,4715675,188627,1665000,6,3,9,8,,,,,,,,
4星彩,111000022,2022/01/26,4922275,196891,3680000,1,7,2,4,,,,,,,,
4星彩,111000023,2022/01/27,4883325,195333,1520000,6,5,3,7,,,,,,,,
4星彩,111000024,2022/01/28,4971050,198842,550000,4,8,9,4,,,,,,,,
4星彩,111000025,2022/01/29,4655475,186219,2315000,1,4,7,1,,,,,,,,
4星彩,111000026,2022/01/31,5669475,226779,660000,8,2,3,4,,,,,,,,
4星彩,111000027,2022/02/01,4796675,191867,2465000,2,1,0,3,,,,,,,,
4星彩,111000028,2022/02/02,4998400,199936,1605000,8,4,8,8,,,,,,,,
4星彩,111000029,2022/02/03,4718225,188729,1575000,3,7,4,8,,,,,,,,
4星彩,111000030,2022/02/04,5131950,205278,1760000,6,1,7,9,,,,,,,,
4星彩,111000031,2022/02/05,5059050,202362,2250000,1,4,4,7,,,,,,,,
4星彩,111000032,2022/02/07,5816150,232646,5105000,7,4,1,7,,,,,,,,
4星彩,111000033,2022/02/08,5065950,202638,1335000,7,0,3,5,,,,,,,,
4星彩,111000034,2022/02/09,4994150,199766,1295000,3,9,7,0,,,,,,,,
4星彩,111000035,2022/02/10,4995700,199828,3770000,6,6,6,5,,,,,,,,
4星彩,111000036,2022/02/11,5136600,205464,1625000,5,0,3,2,,,,,,,,
4星彩,111000037,2022/02/12,4959750,198390,290000,4,5,8,4,,,,,,,,
4星彩,111000038,2022/02/14,5329950,213198,1835000,5,3,4,4,,,,,,,,
4星彩,111000039,2022/02/15,4963025,198521,690000,8,0,4,0,,,,,,,,
4星彩,111000040,2022/02/16,4815300,192612,2520000,4,1,9,3,,,,,,,,
4星彩,111000041,2022/02/17,4734300,189372,3630000,8,6,8,6,,,,,,,,
4星彩,111000042,2022/02/18,4818675,192747,2420000,3,1,8,3,,,,,,,,
4星彩,111000043,2022/02/19,4567200,182688,10470000,0,6,1,9,,,,,,,,
4星彩,111000044,2022/02/21,4788125,191525,4650000,8,3,9,5,,,,,,,,
4星彩,111000045,2022/02/22,4939700,197588,2310000,1,7,5,7,,,,,,,,
4星彩,111000046,2022/02/23,4332275,173291,1455000,9,1,6,3,,,,,,,,
4星彩,111000047,2022/02/24,4662600,186504,1180000,6,9,2,3,,,,,,,,
4星彩,111000048,2022/02/25,4954375,198175,4100000,2,5,6,6,,,,,,,,
4星彩,111000049,2022/02/26,4817875,192715,1220000,2,9,5,3,,,,,,,,
4星彩,111000050,2022/02/28,4944175,197767,525000,0,2,9,4,,,,,,,,
4星彩,111000051,2022/03/01,4676700,187068,995000,4,9,4,7,,,,,,,,
4星彩,111000052,2022/03/02,4699925,187997,3110000,5,5,8,6,,,,,,,,
4星彩,111000053,2022/03/03,4548300,181932,1705000,7,6,1,0,,,,,,,,
4星彩,111000054,2022/03/04,4966300,198652,3705000,2,2,0,5,,,,,,,,
4星彩,111000055,2022/03/05,4721800,188872,670000,3,5,0,4,,,,,,,,
4星彩,111000056,2022/03/07,4718200,188728,715000,4,7,6,7,,,,,,,,
4星彩,111000057,2022/03/08,4657350,186294,545000,9,1,4,2,,,,,,,,
4星彩,111000058,2022/03/09,4566975,182679,2370000,2,7,2,5,,,,,,,,
4星彩,111000059,2022/03/10,4776700,191068,905000,4,7,4,9,,,,,,,,
4星彩,111000060,2022/03/11,4865975,194639,785000,2,7,7,4,,,,,,,,
4星彩,111000061,2022/03/12,4742575,189703,1045000,4,2,6,7,,,,,,,,
4星彩,111000062,2022/03/14,5134975,205399,1475000,6,6,0,5,,,,,,,,
4星彩,111000063,2022/03/15,4726750,189070,5020000,0,5,0,5,,,,,,,,
4星彩,111000064,2022/03/16,4753275,190131,1840000,5,2,7,9,,,,,,,,
4星彩,111000065,2022/03/17,4683600,187344,3565000,8,1,0,1,,,,,,,,
4星彩,111000066,2022/03/18,4737800,189512,855000,7,9,0,6,,,,,,,,
4星彩,111000067,2022/03/19,4708200,188328,2225000,6,8,1,6,,,,,,,,
4星彩,111000068,2022/03/21,5009025,200361,18430000,2,0,2,2,,,,,,,,
4星彩,111000069,2022/03/22,4657700,186308,3755000,3,5,8,8,,,,,,,,
4星彩,111000070,2022/03/23,4437575,177503,1810000,0,2,4,0,,,,,,,,
4星彩,111000071,2022/03/24,4615775,184631,715000,8,5,4,6,,,,,,,,
4星彩,111000072,2022/03/25,4744950,189798,3040000,3,9,2,7,,,,,,,,
4星彩,111000073,2022/03/26,4647050,185882,545000,1,3,6,4,,,,,,,,
4星彩,111000074,2022/03/28,4698775,187951,2385000,1,1,9,3,,,,,,,,
4星彩,111000075,2022/03/29,4698575,187943,1915000,7,1,9,0,,,,,,,,
